# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.misses,1749132162212000000,1749132222293000000,324
StorageLockContext.competingThreads.90P,1749132162212000000,1749132222293000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1749132162212000000,1749132222293000000,304739
StreamlinedBlobStorage.recordsAllocated,1749132162212000000,1749132222293000000,33885
StorageLockContext.competingThreads.avg,1749132162212000000,1749132222293000000,0.0
FilePageCache.totalPageDisposalsUs,1749132162212000000,1749132222293000000,622
FilePageCache.pageFastCacheHits,1749132162212000000,1749132222293000000,5533222
StorageLockContext.competingThreads.max,1749132162212000000,1749132222293000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1749132162212000000,1749132222293000000,470780
MappedFileStorage.totalBytesMapped,1749132162212000000,1749132222293000000,194248704
DirectByteBufferAllocator.reclaimed,1749132162212000000,1749132222293000000,3
FilePageCache.pageLoadsAboveSizeThreshold,1749132162212000000,1749132222293000000,0
FilePageCache.disposedBuffers,1749132162212000000,1749132222293000000,3
FilePageCache.pageHits,1749132162212000000,1749132222293000000,258503
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1749132162212000000,1749132222293000000,2419342
FilePageCache.uncachedFileAccess,1749132162212000000,1749132222293000000,601
FilePageCache.maxRegisteredFiles,1749132162212000000,1749132222293000000,420
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1749132162212000000,1749132222293000000,0
DirectByteBufferAllocator.hits,1749132162212000000,1749132222293000000,3
StreamlinedBlobStorage.recordsDeleted,1749132162212000000,1749132222293000000,3
StreamlinedBlobStorage.recordsRelocated,1749132162212000000,1749132222293000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1749132162212000000,1749132222293000000,0
DirectByteBufferAllocator.disposed,1749132162212000000,1749132222293000000,0
FilePageCache.totalPageLoadsUs,1749132162212000000,1749132222293000000,160010
NonBlockingReadAction.finalizedExecutionTimeUs,1749132162212000000,1749132222293000000,31796
NonBlockingReadAction.failedExecutionsCount,1749132162212000000,1749132222293000000,1
FlushQueue.waitingTime90PNs,1749132162212000000,1749132222293000000,82431
NonBlockingReadAction.failedExecutionTimeUs,1749132162212000000,1749132222293000000,86483
FlushQueue.queueSizeMax,1749132162212000000,1749132222293000000,1
AWTEventQueue.dispatchTimeTotalNS,1749132162212000000,1749132222293000000,2839882206
FlushQueue.queueSizeAvg,1749132162212000000,1749132222293000000,0.02158273381294964
WriteAction.executionsCount,1749132162212000000,1749132222293000000,40
AWTEventQueue.eventsDispatched,1749132162212000000,1749132222293000000,136
AWTEventQueue.dispatchTimeAvgNs,1749132162212000000,1749132222293000000,35331.529411764706
NonBlockingReadAction.finalizedExecutionsCount,1749132162212000000,1749132222293000000,102
AWTEventQueue.dispatchTime90PNs,1749132162212000000,1749132222293000000,50175
ReadAction.executionsCount,1749132162212000000,1749132222293000000,464926
FlushQueue.queueSize90P,1749132162212000000,1749132222293000000,0
FlushQueue.waitingTimeMaxNs,1749132162212000000,1749132222293000000,1269759
FlushQueue.waitingTimeAvgNs,1749132162212000000,1749132222293000000,57677.96402877698
FlushQueue.executionTimeAvgNs,1749132162212000000,1749132222293000000,1872.8489208633093
AWTEventQueue.dispatchTimeMaxNs,1749132162212000000,1749132222293000000,1245183
FlushQueue.tasksExecuted,1749132162212000000,1749132222293000000,139
FlushQueue.executionTime90PNs,1749132162212000000,1749132222293000000,3759
FlushQueue.executionTimeMaxNs,1749132162212000000,1749132222293000000,8895
writeAction.wait.ms,1749132162212000000,1749132222293000000,83
DiskQueryRelay.tasksExecuted,1749132162212000000,1749132222293000000,155759
parser.HTML.time.ns,1749132162212000000,1749132222293000000,967976542
DiskQueryRelay.taskExecutionTotalTimeUs,1749132162212000000,1749132222293000000,6640282
lexer.HTML.time.ns,1749132162212000000,1749132222293000000,2268653337
lexer.HTML.size.bytes,1749132162212000000,1749132222293000000,541260
DiskQueryRelay.tasksRequested,1749132162212000000,1749132222293000000,155759
parser.HTML.size.bytes,1749132162212000000,1749132222293000000,541260
DiskQueryRelay.taskWaitingTotalTimeUs,1749132162212000000,1749132222293000000,13221983
writeAction.median.wait.ms,1749132162212000000,1749132222293000000,0
writeAction.count,1749132162212000000,1749132222293000000,59
writeAction.max.wait.ms,1749132162212000000,1749132222293000000,60
compiler.ArtifactManagerBridge.addArtifact.ms,1749132162212000000,1749132222293000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1749132162212000000,1749132222293000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1749132162212000000,1749132222293000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1749132162212000000,1749132222293000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1749132162212000000,1749132222293000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1749132162212000000,1749132222293000000,0
compiler.ArtifactManagerBridge.commit.ms,1749132162212000000,1749132222293000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1749132162212000000,1749132222293000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1749132162212000000,1749132222293000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1749132162212000000,1749132222293000000,0
workspaceModel.full.replace.project.model.ms,1749132162212000000,1749132222293000000,42
workspaceModel.cachedValueWithParameters.from.cache.count,1749132162212000000,1749132222293000000,0
workspaceModel.cachedValue.from.cache.count,1749132162212000000,1749132222293000000,94
workspaceModel.updates.ms,1749132162212000000,1749132222293000000,118
workspaceModel.replace.project.model.ms,1749132162212000000,1749132222293000000,0
workspaceModel.loading.total.ms,1749132162212000000,1749132222293000000,6
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1749132162212000000,1749132222293000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1749132162212000000,1749132222293000000,0
workspaceModel.updates.count,1749132162212000000,1749132222293000000,12
workspaceModel.cachedValue.clear.count,1749132162212000000,1749132222293000000,10
workspaceModel.cachedValueWithParameters.calculated.count,1749132162212000000,1749132222293000000,0
workspaceModel.on.before.changed.ms,1749132162212000000,1749132222293000000,40
workspaceModel.to.snapshot.ms,1749132162212000000,1749132222293000000,2
workspaceModel.cachedValueWithParameters.total.get.count,1749132162212000000,1749132222293000000,0
workspaceModel.cachedValue.calculated.count,1749132162212000000,1749132222293000000,39
workspaceModel.on.changed.ms,1749132162212000000,1749132222293000000,96
workspaceModel.workspaceFileIndexData.getPackageName.ms,1749132162212000000,1749132222293000000,0
workspaceModel.initializing.ms,1749132162212000000,1749132222293000000,12
workspaceModel.update.unloaded.entities.ms,1749132162212000000,1749132222293000000,0
workspaceModel.workspaceFileIndexData.instances.count,1749132162212000000,1749132222293000000,1
workspaceModel.check.recursive.update.ms,1749132162212000000,1749132222293000000,2
workspaceModel.loading.from.cache.ms,1749132162212000000,1749132222293000000,3
workspaceModel.workspaceFileIndexData.init.ms,1749132162212000000,1749132222293000000,4
workspaceModel.cachedValue.total.get.count,1749132162212000000,1749132222293000000,133
workspaceModel.workspaceFileIndexData.processFileSets.ms,1749132162212000000,1749132222293000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1749132162212000000,1749132222293000000,154
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1749132162212000000,1749132222293000000,14
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1749132162212000000,1749132222293000000,7
workspaceModel.workspaceFileIndexData.markDirty.ms,1749132162212000000,1749132222293000000,0
workspaceModel.collect.changes.ms,1749132162212000000,1749132222293000000,0
workspaceModel.pre.handlers.ms,1749132162212000000,1749132222293000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1749132162212000000,1749132222293000000,43
workspaceModel.cachedValueWithParameters.clear.count,1749132162212000000,1749132222293000000,0
workspaceModel.init.bridges.ms,1749132162212000000,1749132222293000000,12
workspaceModel.updates.precise.ms,1749132162212000000,1749132222293000000,1
cacheStateStorage.set.counter,1749132162212000000,1749132222293000000,4
cacheStateStorage.set.duration,1749132162212000000,1749132222293000000,27
cacheStateStorage.get.duration,1749132162212000000,1749132222293000000,0
cacheStateStorage.get.counter,1749132162212000000,1749132222293000000,17
VFS.invertedFileNameIndex.requests,1749132222293000000,1749132243793000000,4
VFS.fileChildByName,1749132222293000000,1749132243793000000,867656
VFS.fileByIdCache.hits,1749132222293000000,1749132243793000000,100
VFS.fileByIdCache.misses,1749132222293000000,1749132243793000000,362157
JVM.totalCpuTimeMs,1749132222293000000,1749132243793000000,207270
JVM.usedNativeBytes,1749132222293000000,1749132243793000000,551594720
JVM.totalDirectByteBuffersBytes,1749132222293000000,1749132243793000000,49902982
JVM.totalTimeAtSafepointsMs,1749132222293000000,1749132243793000000,418
JVM.totalSafepointCount,1749132222293000000,1749132243793000000,583
JVM.threadCount,1749132222293000000,1749132243793000000,133
JVM.maxHeapBytes,1749132222293000000,1749132243793000000,5754585088
JVM.usedHeapBytes,1749132222293000000,1749132243793000000,1021452560
JVM.GC.collectionTimesMs,1749132222293000000,1749132243793000000,282
OS.loadAverage,1749132222293000000,1749132243793000000,5.462890625
JVM.committedHeapBytes,1749132222293000000,1749132243793000000,1455423488
MEM.fileMappingsRamBytes,1749132222293000000,1749132243793000000,656990208
JVM.totalTimeToSafepointsMs,1749132222293000000,1749132243793000000,421
MEM.ramPlusSwapMinusFileMappingsBytes,1749132222293000000,1749132243793000000,2656657408
JVM.newThreadsCount,1749132222293000000,1749132243793000000,52
MEM.ramMinusFileMappingsBytes,1749132222293000000,1749132243793000000,2656657408
