Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
ReplaceAssociateFunction;Kotlin/Style issues;'associate' can be replaced with 'associateBy' or 'associateWith';kotlin;LOCAL;0.00;0.00%;0;4
RedundantRunCatching;Kotlin/Style issues;Redundant 'runCatching' call;kotlin;LOCAL;0.00;0.00%;0;12
RemoveSingleExpressionStringTemplate;Kotlin/Redundant constructs;Redundant string template;kotlin;LOCAL;0.00;0.00%;0;5
DelegationToVarProperty;Kotlin/Probable bugs;Delegating to 'var' property;kotlin;LOCAL;0.00;0.00%;0;65
RegExpRedundantNestedCharacterClass;RegExp;Redundant nested character class;RegExp;LOCAL;0.00;0.00%;0;4
NestedLambdaShadowedImplicitParameter;Kotlin/Style issues;Nested lambda has shadowed implicit parameter;kotlin;LOCAL;0.00;0.00%;0;4
RegExpDuplicateCharacterInClass;RegExp;Duplicate character in character class;RegExp;LOCAL;0.00;0.00%;0;4
CustomRegExpInspection;RegExp;Custom RegExp inspection;;LOCAL;0.00;0.00%;0;91
UNUSED_IMPORT;Java/Imports;Unused import;JAVA;GLOBAL_SIMPLE;0.00;0.00%;0;4
RedundantUnitExpression;Kotlin/Redundant constructs;Redundant 'Unit';kotlin;LOCAL;0.00;0.00%;0;9
RedundantSetter;Kotlin/Redundant constructs;Redundant property setter;kotlin;LOCAL;0.00;0.00%;0;2
SimplifyWhenWithBooleanConstantCondition;Kotlin/Redundant constructs;Simplifiable 'when';kotlin;LOCAL;0.00;0.00%;0;10
RedundantReturnLabel;Kotlin/Redundant constructs;Redundant 'return' label;kotlin;LOCAL;0.00;0.00%;0;6
RedundantGetter;Kotlin/Redundant constructs;Redundant property getter;kotlin;LOCAL;0.00;0.00%;0;7
ConstantConditionIf;Kotlin/Redundant constructs;Condition of 'if' expression is constant;kotlin;LOCAL;0.00;0.00%;0;7
ReplaceSizeCheckWithIsNotEmpty;Kotlin/Style issues;Size check can be replaced with 'isNotEmpty()';kotlin;LOCAL;0.00;0.00%;0;2
DoubleNegation;Kotlin/Redundant constructs;Redundant double negation;kotlin;LOCAL;0.00;0.00%;0;5
RedundantModalityModifier;Kotlin/Redundant constructs;Redundant modality modifier;kotlin;LOCAL;0.00;0.00%;0;11
